LONGITUDE,LATITUDE
-0.470905149,51.541650061
-2.135317661,52.497231766
-2.353954476,53.46122363
-1.6020683,53.48088
0.1080529,51.3990469
0.1883829,51.4740226
-0.065138787,51.627731377
0.3802867,51.4261421
-1.2519998,52.9064104
-2.3657704,53.3758129
-0.107387267,51.428217257
-1.098624347,53.968005994
-1.640595943,54.784438813
-0.628326,52.3193113
-1.800183263,51.569493435
-2.499284295,51.499891982
-2.581088614,53.383158626
-0.7386972,51.5108949
-0.889686931,52.758486276
-2.730775192,53.689238829
-2.322207554,53.556192712
-0.64732534,51.48081
0.3994066,51.4312126
-1.5361718,54.8910955
-2.285559,53.4456807
-0.9636376,51.7373303
-1.069318615,51.261064724
-1.56811025,54.770768252
0.143863633,51.486829942
-1.4474052,50.918034
-2.725281817,53.748854858
-0.5202327,51.3228726
-1.2418163,53.7925555
-1.4461865,55.0458939
-2.7312649,53.7695602
-1.109117706,53.30959024
-1.5749977,55.0376772
-1.7773475,53.720028
0.617567226,51.370240104
-0.297418758,51.380248538
-1.1007935,50.8414046
-2.237230387,53.422008482
-1.537229808,53.583034261
-0.266076478,51.40888355
-0.151662491,51.131689809
-1.828139,52.6737437
-2.2200338,53.4335409
-1.7397678,52.5134942
-1.8184213,51.6113472
-2.1537313,53.4489696
-1.6494864,53.7098589
-1.532247229,53.8325264
-2.136355005,53.505732475
-1.922865249,51.673820551
-1.613712832,54.701475683
-1.439059217,52.895469572
-0.542123374,52.343105131
-0.1459901,51.1798465
-1.504280969,55.038424322
-1.1476465,52.6485062
-0.948120318,52.245586933
0.1813309,51.3910561
-1.3708127,53.7636186
-1.5516068,54.5205627
-1.585459,53.7969385
-2.3509994,53.4288949
-1.2420135,54.5489394
-0.0563488,51.4444934
-2.364942463,53.457000958
-3.0093958,53.361126
0.190590017,51.274609989
-0.1384732,51.2585156
-0.0326245,51.4008058
-1.1531219,52.5998823
0.2451146,51.4407165
-1.534915,54.5254175
-1.701171239,52.617775218
0.508981429,51.382193718
-2.3292983,53.449547
-0.067209788,51.640614387
-1.17019482,52.670809119
-1.2995711,54.5481084
-1.935281865,52.505423607
-0.949434521,52.24139639
-1.6823615,53.7262243
-2.026556069,52.584641572
-1.3538522,52.7457347
-1.501600403,52.943679813
-0.1995812,51.553344
-1.250029,53.7788942
-1.5104462,54.132828
-1.5487219,54.0077187
-2.231674942,53.691624641
-0.579687993,51.226903614
-1.084924443,53.78565867
-2.507388813,53.552870577
-1.508965567,50.917937411
-1.554768,54.5549621
-2.916778922,53.363028335
-0.8111145,51.8009636
-0.938494959,52.216831164
0.002855547,51.446709208
0.064891353,51.421179496
-0.313035585,51.527988175
-0.184733,51.5979872
-1.7051575,53.8788658
0.1984536,51.2930551
-1.8920258,50.8310119
-1.6395886,53.8361283
-0.3354021,51.2329917
-1.445578869,50.944864682
-2.4047593,53.8659119
-2.201336351,53.158424464
-1.329701,51.0547793
-2.424092201,53.83314529
-1.210019238,51.755792421
-1.3824526,53.3745899
-1.1825004,52.9874246
-1.8858013,52.5445798
-1.2120744,52.5843497
-1.328264156,53.720023906
-1.673733873,52.78341254
0.173896,51.4325178
-0.660459981,52.338011064
-0.147199,51.6042352
-2.75179,53.38042
-1.23667,51.7373646
0.0446193,51.47194
-0.1195726,51.5913234
-2.1887185,53.5093693
-2.6344761,53.5631612
-0.3054941,51.4417794
-0.382203244,51.618862087
0.023220013,51.445083159
0.2130987,51.4324319
-2.972977,53.315872
-2.711943535,53.300707413
-2.325348482,53.396366954
-2.20246274,53.708127606
-1.679088944,54.381109894
-0.468613458,51.341851488
-0.376454,51.607906
-1.595413,55.1855467
-1.253123569,52.937110163
0.1573387,51.4636515
-1.351927937,53.895614029
-1.5986064,51.7624615
-1.286830599,54.621194234
-2.084350536,53.396118826
-2.863451326,53.1943788
-1.5004504,53.4125607
-1.8640959,52.7360462
-0.887891406,52.199178594
